2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=107380 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=107380 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=108560 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=108560 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=109740 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=109740 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=110920 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=110920 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=112100 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=112100 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=113280 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=113280 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=114460 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=114460 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=115640 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=115640 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=116820 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=116820 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=118000 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=118000 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=119180 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=119180 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=120360 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=121540 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=120360 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=122720 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=120360 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=123900 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=120360 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=125080 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=120360 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=120360 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=126260 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=126260 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=127440 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=127440 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=128620 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=128620 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=129800 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=129800 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=130980 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=130980 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=132160 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=132160 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=133340 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=133340 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=134520 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=134520 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=135700 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=135700 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=136880 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=136880 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=138060 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=138060 size=1180 bytes
