Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=132.000 ssthresh=inf last_max=1.000 ack=154580 acked=1180
[ACK_SLOW_START] cwnd=133.000 ssthresh=inf last_max=1.000 ack=155760 acked=1180
[ACK_SLOW_START] cwnd=134.000 ssthresh=inf last_max=1.000 ack=156940 acked=1180
[ACK_SLOW_START] cwnd=135.000 ssthresh=inf last_max=1.000 ack=158120 acked=1180
[ACK_SLOW_START] cwnd=136.000 ssthresh=inf last_max=1.000 ack=159300 acked=1180
[ACK_SLOW_START] cwnd=137.000 ssthresh=inf last_max=1.000 ack=160480 acked=1180
[ACK_SLOW_START] cwnd=138.000 ssthresh=inf last_max=1.000 ack=161660 acked=1180
[ACK_SLOW_START] cwnd=139.000 ssthresh=inf last_max=1.000 ack=162840 acked=1180
[ACK_SLOW_START] cwnd=140.000 ssthresh=inf last_max=1.000 ack=164020 acked=1180
[ACK_SLOW_START] cwnd=141.000 ssthresh=inf last_max=1.000 ack=165200 acked=1180
[ACK_SLOW_START] cwnd=142.000 ssthresh=inf last_max=1.000 ack=166380 acked=1180
[ACK_SLOW_START] cwnd=143.000 ssthresh=inf last_max=1.000 ack=167560 acked=1180
[ACK_SLOW_START] cwnd=144.000 ssthresh=inf last_max=1.000 ack=168740 acked=1180
[ACK_SLOW_START] cwnd=145.000 ssthresh=inf last_max=1.000 ack=169920 acked=1180
[ACK_SLOW_START] cwnd=146.000 ssthresh=inf last_max=1.000 ack=171100 acked=1180
[ACK_SLOW_START] cwnd=147.000 ssthresh=inf last_max=1.000 ack=172280 acked=1180
[ACK_SLOW_START] cwnd=148.000 ssthresh=inf last_max=1.000 ack=173460 acked=1180
[ACK_SLOW_START] cwnd=149.000 ssthresh=inf last_max=1.000 ack=174640 acked=1180
[ACK_SLOW_START] cwnd=150.000 ssthresh=inf last_max=1.000 ack=175820 acked=1180
[ACK_SLOW_START] cwnd=151.000 ssthresh=inf last_max=1.000 ack=177000 acked=1180
[ACK_SLOW_START] cwnd=152.000 ssthresh=inf last_max=1.000 ack=178180 acked=1180
[ACK_SLOW_START] cwnd=153.000 ssthresh=inf last_max=1.000 ack=179360 acked=1180
[ACK_SLOW_START] cwnd=154.000 ssthresh=inf last_max=1.000 ack=180540 acked=1180
[ACK_SLOW_START] cwnd=155.000 ssthresh=inf last_max=1.000 ack=181720 acked=1180
[ACK_SLOW_START] cwnd=156.000 ssthresh=inf last_max=1.000 ack=182900 acked=1180
[ACK_SLOW_START] cwnd=157.000 ssthresh=inf last_max=1.000 ack=184080 acked=1180
[ACK_SLOW_START] cwnd=158.000 ssthresh=inf last_max=1.000 ack=185260 acked=1180
[ACK_SLOW_START] cwnd=159.000 ssthresh=inf last_max=1.000 ack=186440 acked=1180
[ACK_SLOW_START] cwnd=160.000 ssthresh=inf last_max=1.000 ack=187620 acked=1180
[ACK_SLOW_START] cwnd=161.000 ssthresh=inf last_max=1.000 ack=188800 acked=1180
[ACK_SLOW_START] cwnd=162.000 ssthresh=inf last_max=1.000 ack=189980 acked=1180
[ACK_SLOW_START] cwnd=163.000 ssthresh=inf last_max=1.000 ack=191160 acked=1180
[ACK_SLOW_START] cwnd=164.000 ssthresh=inf last_max=1.000 ack=192340 acked=1180
[ACK_SLOW_START] cwnd=165.000 ssthresh=inf last_max=1.000 ack=193520 acked=1180
[ACK_SLOW_START] cwnd=166.000 ssthresh=inf last_max=1.000 ack=194700 acked=1180
[ACK_SLOW_START] cwnd=167.000 ssthresh=inf last_max=1.000 ack=195880 acked=1180
[ACK_SLOW_START] cwnd=168.000 ssthresh=inf last_max=1.000 ack=197060 acked=1180
[ACK_SLOW_START] cwnd=169.000 ssthresh=inf last_max=1.000 ack=198240 acked=1180
[ACK_SLOW_START] cwnd=170.000 ssthresh=inf last_max=1.000 ack=199420 acked=1180
[ACK_SLOW_START] cwnd=171.000 ssthresh=inf last_max=1.000 ack=200600 acked=1180
[ACK_SLOW_START] cwnd=172.000 ssthresh=inf last_max=1.000 ack=201780 acked=1180
[ACK_SLOW_START] cwnd=173.000 ssthresh=inf last_max=1.000 ack=202960 acked=1180
[ACK_SLOW_START] cwnd=174.000 ssthresh=inf last_max=1.000 ack=204140 acked=1180
[ACK_SLOW_START] cwnd=175.000 ssthresh=inf last_max=1.000 ack=205320 acked=1180
[ACK_SLOW_START] cwnd=176.000 ssthresh=inf last_max=1.000 ack=206500 acked=1180
[ACK_SLOW_START] cwnd=177.000 ssthresh=inf last_max=1.000 ack=207680 acked=1180
[ACK_SLOW_START] cwnd=178.000 ssthresh=inf last_max=1.000 ack=208860 acked=1180
[ACK_SLOW_START] cwnd=179.000 ssthresh=inf last_max=1.000 ack=210040 acked=1180
[ACK_SLOW_START] cwnd=180.000 ssthresh=inf last_max=1.000 ack=211220 acked=1180
[ACK_SLOW_START] cwnd=181.000 ssthresh=inf last_max=1.000 ack=212400 acked=1180
[ACK_SLOW_START] cwnd=182.000 ssthresh=inf last_max=1.000 ack=213580 acked=1180
[ACK_SLOW_START] cwnd=183.000 ssthresh=inf last_max=1.000 ack=214760 acked=1180
[ACK_SLOW_START] cwnd=184.000 ssthresh=inf last_max=1.000 ack=215940 acked=1180
[ACK_SLOW_START] cwnd=185.000 ssthresh=inf last_max=1.000 ack=217120 acked=1180
[ACK_SLOW_START] cwnd=186.000 ssthresh=inf last_max=1.000 ack=218300 acked=1180
[ACK_SLOW_START] cwnd=187.000 ssthresh=inf last_max=1.000 ack=219480 acked=1180
[ACK_SLOW_START] cwnd=188.000 ssthresh=inf last_max=1.000 ack=220660 acked=1180
[ACK_SLOW_START] cwnd=189.000 ssthresh=inf last_max=1.000 ack=221840 acked=1180
